,location,company,jkid,title,salary,stars,reviews,post_date,pull_date
181,"Fort George G Meade, MD",National Security Agency,88651b5e4d317b83,Data Scientist,"$65,572 - $84,611 a year",53.4,78,30+ days,2016-10-16 00:30:23.897629
182,"Washington, DC",CEB,26df5fa35ae61dd0,Research Analyst- Campus Recruiting- May 2017 Undergraduates,,40.8,72,30+ days,2016-10-16 00:30:23.897629
183,"Arlington, VA",ICF,3bd1da1c3b076844,Technical Business Analyst,,40.8,233,2 days,2016-10-16 00:30:23.897629
184,"McLean, VA",SAIC,1a475b19fe3bffee,Data Scientist | Solution Architect Job,,51.6,1268,21 days,2016-10-16 00:30:23.897629
185,"Alexandria, VA",Booz Allen Hamilton,398a5832e13b4848,Cyber Research Scientist,,44.4,945,3 days,2016-10-16 00:30:23.897629
186,"Alexandria, VA",Booz Allen Hamilton,0a8bf77fcf0d4199,Geospatial Research Scientist,,44.4,945,3 days,2016-10-16 00:30:23.897629
187,"Washington, DC",BDS Marketing,2ba81686a1f0d196,Sr. Analyst Research Services,,44.4,79,30+ days,2016-10-16 00:30:23.897629
188,"Arlington, VA",Barone Consulting,979e05cb6dab069c,Machine Learning - R&D,,,,2 days,2016-10-16 00:30:23.897629
189,"Falls Church, VA 22043",PAE,98a17aa262df9dce,Data Scientist,,43.8,215,12 days,2016-10-16 00:30:23.897629
190,"Arlington, VA",Invincea,54432260f8a573e8,Research Director - Data Science,,,,24 days,2016-10-16 00:30:23.897629
